Feature,Importance
fnlwgt,0.17163821405130028
age,0.15496477937217792
capital_gain,0.11357015764317153
relationship,0.10167939574148024
education_num,0.09046338227254114
hours_per_week,0.08227636025040075
occupation,0.06790809366687721
marital_status,0.06715102410850314
workclass,0.038888283968786505
capital_loss,0.03664981565615164
education,0.03277092232568035
native_country,0.01501447959934878
race,0.013769874611026864
sex,0.013255216732553724
